subref	form	norm	lemma	tag	curated
3.1@ἀπενεχθέντος	ἀπενεχθέντος	ἀπενεχθέντος			n
3.1@οἴκαδε	οἴκαδε	οἴκαδε			n
3.1@ὡς	ὡς	ὡς			n
3.1@τεθνηκότος	τεθνηκότος	τεθνηκότος			n
3.1@κλαιόντων	κλαιόντων	κλαιόντων			n
3.1@τῶν[2]	τῶν	τῶν			n
3.1@οἰκείων	οἰκείων	οἰκείων			n
3.1@τε[2]	τε	τέ			n
3.1@καὶ[2]	καὶ	καί			n
3.1@γνωρίμων	γνωρίμων	γνωρίμων			n
3.1@οὐ	οὐ	οὐ			n
3.1@σιωπήσετε	σιωπήσετε	σιωπήσετε			n
3.1@ἔφη	ἔφη	ἔφη			n
3.1@ἔδειξε	ἔδειξε	ἔδειξε			n
3.1@γὰρ	γὰρ	γάρ			n
3.1@οἵου	οἵου	οἵου			n
3.1@αἵματος	αἵματος	αἵματος			n
3.1@ἦν	ἦν	ἦν			n
3.1@καὶ[3]	καὶ	καί			n
3.1@οὐκ	οὐκ	οὐ			n
3.1@ἔφη[2]	ἔφη	ἔφη			n
3.1@δεῖν	δεῖν	δεῖν			n
3.1@τοὺς	τοὺς	τούς			n
3.1@ἀγαθοὺς	ἀγαθοὺς	ἀγαθούς			n
3.1@βοᾶν	βοᾶν	βοᾶν			n
3.1@ἀλλʼ	ἀλλʼ	ἀλλʼ			n
3.1@ἰατρεύεσθαι	ἰατρεύεσθαι	ἰατρεύεσθαι			n
3.2@ὅτε	ὅτε	ὅτε			n
3.2@ἄγγελος	ἄγγελος	ἄγγελος			n
3.2@ἦλθεν	ἦλθεν	ἦλθεν			n
3.2@ἐκ	ἐκ	ἐκ			n
3.2@Κρήτης	Κρήτης	κρήτης			n
3.2@τὸν	τὸν	τόν			n
3.2@Ἀκροτάτου	Ἀκροτάτου	ἀκροτάτου			n
3.2@θάνατον	θάνατον	θάνατον			n
3.2@ἀπαγγέλλων	ἀπαγγέλλων	ἀπαγγέλλων			n
3.2@οὐκ	οὐκ	οὐ			n
3.2@ἔμελλεν	ἔμελλεν	ἔμελλεν			n
3.2@ἔφη	ἔφη	ἔφη			n
3.2@πρὸς	πρὸς	πρός			n
3.2@τοὺς	τοὺς	τούς			n
3.2@πολεμίους	πολεμίους	πολεμίους			n
3.2@ἥκων	ἥκων	ἥκων			n
3.2@ἢ	ἢ	ἤ			n
3.2@αὐτὸς	αὐτὸς	αὐτός			n
3.2@ὑπʼ	ὑπʼ	ὑπʼ			n
3.2@ἐκείνων	ἐκείνων	ἐκείνων			n
3.2@ἀποθανεῖσθαι	ἀποθανεῖσθαι	ἀποθανεῖσθαι			n
3.2@ἢ[2]	ἢ	ἤ			n
3.2@κατακανεῖν	κατακανεῖν	κατακανεῖν			n
3.2@κατακανεῖν[2]	κατακανεῖν	κατακανεῖν			n
3.2@F	F	f			n
3.2@C	C	c			n
3.2@B	B	b			n
3.2@κατακαίνειν	κατακαίνειν	κατακαίνειν			n
3.2@ἐκείνους	ἐκείνους	ἐκείνους			n
3.2@ἥδιον	ἥδιον	ἥδιον			n
3.2@δʼ	δʼ	δʼ			n
3.2@ἀκούειν	ἀκούειν	ἀκούειν			n
3.2@ὅτι	ὅτι	ὅτι			n
3.2@ἀπέθανε	ἀπέθανε	ἀπέθανε			n
3.2@καὶ	καὶ	καί			n
3.2@ἑαυτῆς	ἑαυτῆς	ἑαυτῆς			n
3.2@καὶ[2]	καὶ	καί			n
3.2@τῆς[2]	τῆς	τῆς			n
3.2@πόλεως	πόλεως	πόλεως			n
3.2@ἀξίως	ἀξίως	ἀξίως			n
3.2@καὶ[3]	καὶ	καί			n
3.2@τῶν	τῶν	τῶν			n
3.2@προγόνων	προγόνων	προγόνων			n
3.2@ἢ[3]	ἢ	ἤ			n
3.2@εἰ	εἰ	εἰ			n
3.2@ἔζη	ἔζη	ἔζη			n
3.2@τὸν[2]	τὸν	τόν			n
3.2@ἅπαντα	ἅπαντα	ἅπαντα			n
3.2@χρόνον	χρόνον	χρόνον			n
3.2@κακὸς	κακὸς	κακός			n
3.2@ὤν	ὤν	ὤν			n
4.1@Δαματρία	Δαματρία	δαματρία			n
4.1@τὸν	τὸν	τόν			n
4.1@υἱὸν	υἱὸν	υἱόν			n
4.1@δειλὸν	δειλὸν	δειλόν			n
4.1@καὶ	καὶ	καί			n
4.1@ἀνάξιον	ἀνάξιον	ἀνάξιον			n
4.1@ἑαυτῆς	ἑαυτῆς	ἑαυτῆς			n
4.1@ἑαυτοῦ	ἑαυτοῦ	ἑαυτοῦ			n
4.1@in	in	in			n
4.1@some	some	some			n
4.1@mss	mss	mss			n
4.1@ἀκούσασα	ἀκούσασα	ἀκούσασα			n
4.1@παραγενόμενον	παραγενόμενον	παραγενόμενον			n
4.1@ἀνεῖλε	ἀνεῖλε	ἀνεῖλε			n
4.1@τὸ[2]	τὸ	τό			n
4.1@δʼ	δʼ	δʼ			n
4.1@ἐπίγραμμα	ἐπίγραμμα	ἐπίγραμμα			n
4.1@ἐπʼ	ἐπʼ	ἐπʼ			n
4.1@αὐτῆς	αὐτῆς	αὐτῆς			n
4.1@τόδε	τόδε	τόδε			n
4.1@τὸν[2]	τὸν	τόν			n
4.1@παραβάντα	παραβάντα	παραβάντα			n
4.1@νόμους	νόμους	νόμους			n
4.1@Δαμάτριον	Δαμάτριον	δαμάτριον			n
4.1@ἔκτανε	ἔκτανε	ἔκτανε			n
4.1@μάτηρ	μάτηρ	μάτηρ			n
4.1@ἁ	ἁ	ἁ			n
4.1@Λακεδαιμονία	Λακεδαιμονία	λακεδαιμονία			n
4.1@τὸν[3]	τὸν	τόν			n
4.1@Λακεδαιμόνιον	Λακεδαιμόνιον	λακεδαιμόνιον			n
5.1@ἑτέρα	ἑτέρα	ἑτέρα			n
5.1@Λάκαινα	Λάκαινα	λάκαινα			n
5.1@τὸν	τὸν	τόν			n
5.1@υἱὸν	υἱὸν	υἱόν			n
5.1@λιποτακτήσαντα	λιποτακτήσαντα	λιποτακτήσαντα			n
5.1@λιποτακτήσαντα[2]	λιποτακτήσαντα	λιποτακτήσαντα			n
5.1@the	the	the			n
5.1@preferred	preferred	preferred			n
5.1@form	form	form			n
5.1@λειποτακτήσαντα	λειποτακτήσαντα	λειποτακτήσαντα			n
5.1@ὡς	ὡς	ὡς			n
5.1@ἀνάξιον	ἀνάξιον	ἀνάξιον			n
5.1@τῆς	τῆς	τῆς			n
5.1@πατρίδος	πατρίδος	πατρίδος			n
5.1@ἀνεῖλεν	ἀνεῖλεν	ἀνεῖλεν			n
5.1@εἰποῦσα	εἰποῦσα	εἰποῦσα			n
5.1@οὐκ	οὐκ	οὐ			n
5.1@ἐμὸν	ἐμὸν	ἐμόν			n
5.1@τὸ[2]	τὸ	τό			n
5.1@φίτυμα	φίτυμα	φίτυμα			n
5.1@ἐφʼ	ἐφʼ	ἐφʼ			n
5.1@ἧς	ἧς	ἧς			n
5.1@τὸ[3]	τὸ	τό			n
5.1@ἐπίγραμμα	ἐπίγραμμα	ἐπίγραμμα			n
5.1@τόδε	τόδε	τόδε			n
5.1@ἔρρε	ἔρρε	ἔρρε			n
5.1@κακὸν	κακὸν	κακόν			n
5.1@φίτυμα[2]	φίτυμα	φίτυμα			n
5.1@διὰ	διὰ	διά			n
5.1@σκότος	σκότος	σκότος			n
5.1@οὗ	οὗ	οὗ			n
5.1@διὰ[2]	διὰ	διά			n
5.1@μῖσος	μῖσος	μῖσος			n
5.1@Εὐρώτας	Εὐρώτας	εὐρώτας			n
5.1@δειλαῖς	δειλαῖς	δειλαῖς			n
5.1@μηδʼ	μηδʼ	μηδʼ			n
5.1@ἐλάφοισι	ἐλάφοισι	ἐλάφοισι			n
5.1@ῥέοι	ῥέοι	ῥέοι			n
5.1@ἀχρεῖον	ἀχρεῖον	ἀχρεῖον			n
5.1@σκυλάκευμα	σκυλάκευμα	σκυλάκευμα			n
5.1@κακὰ	κακὰ	κακά			n
5.1@μερίς	μερίς	μερίς			n
5.1@ἔρρε[2]	ἔρρε	ἔρρε			n
5.1@ποθʼ	ποθʼ	ποθʼ			n
5.1@Ἅιδαν	Ἅιδαν	ἅιδαν			n
5.1@ἔρρε[3]	ἔρρε	ἔρρε			n
5.1@τὸ[4]	τὸ	τό			n
5.1@μὴ	μὴ	μή			n
5.1@Σπάρτας	Σπάρτας	σπάρτας			n
5.1@ἄξιον	ἄξιον	ἄξιον			n
5.1@οὐδʼ	οὐδʼ	οὐδʼ			n
5.1@ἔτεκον	ἔτεκον	ἔτεκον			n
5.2@ἄλλη	ἄλλη	ἄλλη			n
5.2@ἀκούσασα	ἀκούσασα	ἀκούσασα			n
5.2@τὸν	τὸν	τόν			n
5.2@υἱὸν	υἱὸν	υἱόν			n
5.2@ἐν	ἐν	ἐν			n
5.2@παρατάξει	παρατάξει	παρατάξει			n
5.2@πεσόντα	πεσόντα	πεσόντα			n
5.2@ἔφη	ἔφη	ἔφη			n
5.2@δειλοὶ	δειλοὶ	δειλοί			n
5.2@κλαιέσθωσαν	κλαιέσθωσαν	κλαιέσθωσαν			n
5.2@ἐγὼ	ἐγὼ	ἐγώ			n
5.2@δέ	δέ	δέ			n
5.2@σε	σε	σε			n
5.2@τέκνον	τέκνον	τέκνον			n
5.2@ἄδακρυς	ἄδακρυς	ἄδακρυς			n
5.2@θάπτω	θάπτω	θάπτω			n
5.2@θάπτω[2]	θάπτω	θάπτω			n
5.2@S	S	s			n
5.2@A	A	a			n
5.2@Naber	Naber	naber			n
5.2@and	and	and			n
5.2@Hartman	Hartman	hartman			n
5.2@καὶ	καὶ	καί			n
5.2@ἱλαρὰ	ἱλαρὰ	ἱλαρά			n
5.2@θάπτω[3]	θάπτω	θάπτω			n
5.2@Pantazides	Pantazides	pantazides			n
5.2@would	would	would			n
5.2@omit	omit	omit			n
5.2@καὶ[2]	καὶ	καί			n
5.2@ἐμὸν	ἐμὸν	ἐμόν			n
5.2@καὶ[3]	καὶ	καί			n
5.2@to	to	to			n
5.2@accomplish	accomplish	accomplish			n
5.2@the	the	the			n
5.2@same	same	same			n
5.2@result	result	result			n
5.2@but	but	but			n
5.2@cf	cf	cf			n
5.2@235	235	235			n
5.2@a[9]	a	a			n
5.2@τὸν[2]	τὸν	τόν			n
5.2@καὶ[4]	καὶ	καί			n
5.2@ἐμὸν[2]	ἐμὸν	ἐμόν			n
5.2@καὶ[5]	καὶ	καί			n
5.2@Λακεδαιμόνιον	Λακεδαιμόνιον	λακεδαιμόνιον			n
5.3@ἀκούσασά	ἀκούσασά	ἀκούσασα			n
5.3@τις	τις	τὶς			n
5.3@τὸν	τὸν	τόν			n
5.3@υἱὸν	υἱὸν	υἱόν			n
5.3@σεσῳσμένον	σεσῳσμένον	σεσῳσμένον			n
5.3@καὶ	καὶ	καί			n
5.3@πεφευγότα	πεφευγότα	πεφευγότα			n
5.3@ἐκ	ἐκ	ἐκ			n
5.3@τῶν	τῶν	τῶν			n
5.3@πολεμίων	πολεμίων	πολεμίων			n
5.3@γράφει	γράφει	γράφει			n
5.3@αὐτῷ	αὐτῷ	αὐτῷ			n
5.3@κακὰ	κακὰ	κακά			n
5.3@φάμα	φάμα	φάμα			n
5.3@τευ	τευ	τευ			n
5.3@κακκέχυται	κακκέχυται	κακκέχυται			n
5.3@ἢ	ἢ	ἤ			n
5.3@ταύταν	ταύταν	ταύταν			n
5.3@νῦν	νῦν	νῦν			n
5.3@νυν	νυν	νυν			n
5.3@Hatzidakis	Hatzidakis	hatzidakis			n
5.3@νῦν[2]	νῦν	νῦν			n
5.3@ἔκνιψαι	ἔκνιψαι	ἔκνιψαι			n
5.3@ἢ[2]	ἢ	ἤ			n
5.3@μὴ	μὴ	μή			n
5.3@ἔσο	ἔσο	ἔσο			n
5.4@ἄλλη	ἄλλη	ἄλλη			n
5.4@τῶν	τῶν	τῶν			n
5.4@υἱῶν	υἱῶν	υἱῶν			n
5.4@φυγόντων	φυγόντων	φυγόντων			n
5.4@ἐκ	ἐκ	ἐκ			n
5.4@μάχης	μάχης	μάχης			n
5.4@καὶ	καὶ	καί			n
5.4@παραγενομένων	παραγενομένων	παραγενομένων			n
5.4@ὡς	ὡς	ὡς			n
5.4@αὐτήν	αὐτήν	αὐτήν			n
5.4@ποῦ	ποῦ	ποῦ			n
5.4@ποῦ[2]	ποῦ	ποῦ			n
5.4@ποῖ	ποῖ	ποῖ			n
5.4@Stobaeus	Stobaeus	stobaeus			n
5.4@Florilegium	Florilegium	florilegium			n
5.4@cviii	cviii	cviii			n
5.4@83	83	83			n
5.4@φησίν	φησίν	φησίν			n
5.4@ἥκετε	ἥκετε	ἥκετε			n
5.4@δραπετεύσαντες	δραπετεύσαντες	δραπετεύσαντες			n
5.4@κακὰ	κακὰ	κακά			n
5.4@ἀνδράποδα	ἀνδράποδα	ἀνδράποδα			n
5.4@ἢ	ἢ	ἤ			n
5.4@δεῦρο	δεῦρο	δεῦρο			n
5.4@ὅθεν	ὅθεν	ὅθεν			n
5.4@ἐξέδυτε	ἐξέδυτε	ἐξέδυτε			n
5.4@καταδυσόμενοι	καταδυσόμενοι	καταδυσόμενοι			n
5.4@ἀνασυραμένη	ἀνασυραμένη	ἀνασυραμένη			n
5.4@καὶ[2]	καὶ	καί			n
5.4@ἐπιδείξασα	ἐπιδείξασα	ἐπιδείξασα			n
5.4@ἐπιδείξασα[2]	ἐπιδείξασα	ἐπιδείξασα			n
5.4@δείξασα[3]	δείξασα	δείξασα			n
5.4@ibid	ibid	ibid			n
5.4@αὐτοῖς	αὐτοῖς	αὐτοῖς			n
5.5@προσάγοντά	προσάγοντά	προσάγοντα			n
5.5@τις	τις	τὶς			n
